DATE,CLOSE,LTP,VALUE
2024-03-01,623.3,623.0,4900244315.35
2024-03-02,625.2,625.0,195099631.35
2024-03-04,640.45,641.9,4713577217.05
2024-03-05,645.1,645.5,3956143429.0
2024-03-06,638.35,636.5,5807297882.3
2024-03-07,624.7,623.0,3758430265.4
2024-03-11,626.4,625.0,4829724554.8
2024-03-12,625.45,623.0,4399936772.5
2024-03-13,597.75,599.35,4531133340.2
2024-03-14,608.75,608.0,5858771511.4
2024-03-15,586.45,583.5,16490784276.05
2024-03-18,582.3,582.5,3215991393.8
2024-03-19,557.7,558.15,6111482963.25
2024-03-20,566.65,566.6,4962788997.1
2024-03-21,587.8,587.0,4858229018.1
2024-03-22,592.8,592.5,6399957221.85
2024-03-26,599.85,600.0,4053268783.4
2024-03-27,595.2,596.85,3290569661.3
2024-03-28,602.4,604.0,3675306230.95
2024-04-01,600.7,602.5,1887515244.45
2024-04-02,615.8,616.2,5824064426.05
2024-04-03,610.95,611.7,3827672558.9
2024-04-04,598.5,600.45,4582855976.1
2024-04-05,590.45,591.0,5148072441.8
2024-04-08,591.95,591.45,3463793421.4
2024-04-09,585.75,585.4,2669844080.7
2024-04-10,604.75,606.0,6710718181.1
2024-04-12,601.2,601.0,4058269073.5
2024-04-15,589.55,590.0,4898430736.95
2024-04-16,592.3,593.65,3427842852.95
2024-04-18,589.6,593.0,7805125540.65
2024-04-19,585.8,584.5,6056869487.4
2024-04-22,603.45,604.0,5291428998.45
2024-04-23,593.0,593.5,3426183245.2
2024-04-24,593.35,593.5,2906447555.0
2024-04-25,603.4,602.3,4295185168.0
2024-04-26,609.45,610.0,3014832249.6
2024-04-29,618.8,619.3,4919009454.85
2024-04-30,607.35,610.15,3847673281.45
2024-05-02,634.65,635.35,9988355265.05
2024-05-03,629.85,630.95,2846781804.35
2024-05-06,610.25,611.65,2907491509.45
2024-05-07,604.3,604.5,6088684770.4
2024-05-08,620.3,621.1,4300896330.2
2024-05-09,592.15,592.25,6025431614.1
2024-05-10,618.65,618.8,13550838577.3
2024-05-13,606.9,608.0,6916121268.5
2024-05-14,605.95,607.7,3892164563.95
2024-05-15,625.05,626.7,5794798123.55
2024-05-16,618.75,620.0,8341149490.8
2024-05-17,628.3,628.8,3186520377.95
2024-05-18,629.0,628.6,326062874.9
2024-05-21,644.0,645.0,6815512451.05
2024-05-22,640.5,639.95,4679139407.55
2024-05-23,647.45,647.0,4854703684.65
2024-05-24,654.1,654.7,5304732059.05
2024-05-27,656.05,655.2,4095745550.2
2024-05-28,646.5,645.65,2907510864.3
2024-05-29,633.55,633.75,3431082469.95
2024-05-30,625.75,626.95,3036760870.7
2024-05-31,627.8,628.6,5784023579.85
2024-06-03,666.15,666.05,11322761725.4
2024-06-04,580.2,585.45,13980028744.75
2024-06-05,581.1,580.0,13438124270.45
2024-06-06,584.15,585.4,11234245760.7
2024-06-07,599.8,599.8,6385331894.9
2024-06-10,602.6,602.05,4480477062.85
2024-06-11,607.2,606.8,8149514106.95
2024-06-12,613.35,613.75,7250921341.7
2024-06-13,619.35,619.3,3722109927.8
2024-06-14,626.65,626.45,4576682936.8
2024-06-18,630.9,631.6,5010178647.0
2024-06-19,615.8,616.25,6092296281.75
2024-06-20,626.25,627.0,5633007320.7
2024-06-21,307.6,308.3,9310783933.55
2024-06-24,305.25,305.25,2312320675.05
2024-06-25,296.3,296.75,4672345605.25
2024-06-26,298.4,298.75,2384382305.15
2024-06-27,304.85,305.8,3765473007.55
2024-06-28,303.95,303.25,2761540997.75
2024-07-01,304.55,304.05,1461221928.2
2024-07-02,304.4,304.4,1695323314.75
2024-07-03,306.6,305.95,1331736523.9
2024-07-04,303.0,304.0,2014535389.2
2024-07-05,306.65,306.5,2346412575.15
2024-07-08,299.5,299.0,3467666979.85
2024-07-09,300.2,300.2,5398729627.5
2024-07-10,300.35,301.35,3612581104.6
2024-07-11,306.6,306.75,5872858664.7
2024-07-12,304.55,305.25,3206809367.85
2024-07-15,307.75,307.75,2671382097.8
2024-07-16,315.95,316.1,8877558577.8
2024-07-18,318.15,317.5,6197685208.05
2024-07-19,303.8,305.5,6093782113.0
2024-07-22,308.25,308.1,8427288822.7
2024-07-23,306.0,306.0,7398327901.3
2024-07-24,314.95,314.9,5282379300.3
2024-07-25,326.15,326.5,9846232910.05
2024-07-26,328.8,329.05,7136522968.95
2024-07-29,337.9,338.4,6800366821.15
2024-07-30,348.2,348.3,16119213861.9
2024-07-31,350.05,351.0,6029291390.75
2024-08-01,349.1,348.6,5899399661.6
2024-08-02,347.1,347.9,5248694016.05
2024-08-05,341.7,341.0,8142833643.1
2024-08-06,334.7,335.4,4683086140.6
2024-08-07,343.65,344.0,4901603767.3
2024-08-08,338.3,338.55,5198129570.9
2024-08-09,333.4,333.4,3781335418.65
2024-08-12,333.4,333.0,4074311024.6
2024-08-13,321.7,321.6,3175702959.1
2024-08-14,325.05,325.1,2747602125.9
2024-08-16,332.5,333.35,2717180427.25
2024-08-19,343.8,343.55,6113577275.9
2024-08-20,349.4,347.95,8032231364.55
2024-08-21,351.2,351.0,5207823428.65
2024-08-22,350.1,349.9,3591838705.85
2024-08-23,352.2,353.0,5623128206.85
2024-08-26,351.15,350.75,2341951962.95
2024-08-27,349.05,347.9,3361123907.35
